,year,housing_units,neighborhood,sale_price_sqr_foot,gross_rent
323,2015,382295,Marina,1132.8373605554543,3739.0
324,2015,382295,Mission Dolores,571.7557085689909,3739.0
325,2015,382295,Mission Terrace,583.8486362312665,3739.0
326,2015,382295,Nob Hill,529.847319131393,3739.0
327,2015,382295,Noe Valley,544.6002639104153,3739.0
328,2015,382295,North Beach,448.86919667679206,3739.0
329,2015,382295,North Waterfront,890.9095931764136,3739.0
330,2015,382295,Oceanview,265.9298265032701,3739.0
331,2015,382295,Outer Mission,564.6874764662282,3739.0
332,2015,382295,Outer Parkside,652.2879690318528,3739.0
333,2015,382295,Outer Richmond ,438.46778741967495,3739.0
334,2015,382295,Outer Sunset,357.8946922463997,3739.0
335,2015,382295,Pacific Heights,910.1876901656898,3739.0
336,2015,382295,Park North,616.5723883169863,3739.0
337,2015,382295,Parkside,,3739.0
338,2015,382295,Parnassus/Ashbury Heights,605.3433249358947,3739.0
339,2015,382295,Potrero Hill,821.3009904764873,3739.0
340,2015,382295,Presidio Heights,,3739.0
341,2015,382295,Russian Hill,793.2619915605263,3739.0
342,2015,382295,South of Market,717.0825412171871,3739.0
343,2015,382295,Sunnyside,439.7498835483721,3739.0
344,2015,382295,Telegraph Hill,996.9902204858652,3739.0
345,2015,382295,Twin Peaks,417.3353789228001,3739.0
346,2015,382295,Union Square District,2258.702831998355,3739.0
347,2015,382295,Van Ness/ Civic Center,677.8382318281795,3739.0
348,2015,382295,Visitacion Valley,302.2218727063018,3739.0
349,2015,382295,Western Addition,481.4692442739424,3739.0
350,2015,382295,Yerba Buena,963.5226061641274,3739.0
351,2016,384242,Alamo Square,340.98183523166995,4390.0
352,2016,384242,Anza Vista,88.40151094606406,4390.0
353,2016,384242,Bernal Heights ,986.842105263158,4390.0
354,2016,384242,Buena Vista Park,851.4014053492667,4390.0
355,2016,384242,Central Richmond,661.0644257703082,4390.0
356,2016,384242,Central Sunset,581.3708750724594,4390.0
357,2016,384242,Cow Hollow,1059.0656015492618,4390.0
358,2016,384242,Croker Amazon,566.7011760342162,4390.0
359,2016,384242,Downtown ,718.7768297452345,4390.0
360,2016,384242,Eureka Valley/Dolores Heights,1026.7911075237505,4390.0
361,2016,384242,Excelsior,534.2262501283425,4390.0
362,2016,384242,Financial District North,,4390.0
363,2016,384242,Glen Park,945.5665024630542,4390.0
364,2016,384242,Haight Ashbury,531.8350322320708,4390.0
365,2016,384242,Hayes Valley,175.06606919629078,4390.0
366,2016,384242,Ingleside Heights,571.5799833446893,4390.0
367,2016,384242,Inner Mission,647.7704471840341,4390.0
368,2016,384242,Inner Parkside,518.1126504655916,4390.0
369,2016,384242,Inner Richmond,403.31113221139015,4390.0
370,2016,384242,Inner Sunset,445.9238282688497,4390.0
371,2016,384242,Jordan Park/Laurel Heights,704.5664189758044,4390.0
